"filename", "language", "Python", "comment", "blank", "total"
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/decision/tiny_policy_net.py", "Python", 328, 18, 49, 395
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/decision/tokenizer.py", "Python", 43, 4, 12, 59
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/mapping/__init__.py", "Python", 3, 1, 4, 8
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/mapping/in_memory_mapping_store.py", "Python", 48, 11, 14, 73
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/mapping/json_mapping_store.py", "Python", 39, 7, 11, 57
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/ocr/__init__.py", "Python", 2, 1, 3, 6
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/ocr/ppocr_adapter.py", "Python", 299, 22, 44, 365
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/persona/__init__.py", "Python", 2, 1, 4, 7
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/persona/json_persona_repository.py", "Python", 136, 16, 22, 174
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/pii/__init__.py", "Python", 2, 1, 4, 7
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/pii/gliner_adapter.py", "Python", 46, 6, 11, 63
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/pii/rule_based_detector.py", "Python", 4006, 111, 168, 4285
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/rendering/__init__.py", "Python", 16, 1, 3, 20
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/rendering/fill_strategies.py", "Python", 354, 26, 72, 452
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/rendering/prompt_renderer.py", "Python", 113, 10, 13, 136
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/rendering/screenshot_renderer.py", "Python", 930, 50, 77, 1057
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/restoration/__init__.py", "Python", 2, 1, 4, 7
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/infrastructure/restoration/action_restorer.py", "Python", 30, 3, 5, 38
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/utils/__init__.py", "Python", 11, 1, 3, 15
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/utils/aho_matcher.py", "Python", 65, 3, 13, 81
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/utils/image.py", "Python", 34, 9, 12, 55
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/utils/pii_value.py", "Python", 650, 19, 87, 756
"/Users/vis/Documents/GitHub/PrivacyGuard/privacyguard/utils/text.py", "Python", 8, 3, 7, 18
"Total", "-", 11652, 1097, 1422, 14171
